Model,Balanced Accuracy,F1 Score,ROC AUC,CV Mean,CV Std
Logistic Regression,0.8976190476190476,0.896551724137931,0.9285714285714286,0.6851515151515152,0.08553375868693477
Random Forest,0.8285714285714285,0.8275862068965517,0.9571428571428571,0.7540909090909091,0.059721960620436304
Gradient Boosting,0.7952380952380952,0.8,0.9333333333333333,0.7009090909090909,0.03888187002119716
