k,inertia,silhouette
2,3823.3440146772577,0.21114300454566215
3,3494.0303899905184,0.08972821717587436
4,3247.1006670548413,0.10665706873494675
5,3016.839045232435,0.11135882529999007
6,2893.226111716451,0.09228400309047186
7,2690.648908160371,0.08455606660870901
8,2554.5742917195594,0.0948129634135613
9,2446.3021033852688,0.10201919408938517
10,2204.937896040221,0.11005155837130914
